amfi_code,tracking_error_nifty100,tracking_error_nifty50
100016,0.19928360293890288,0.19641644012403175
100025,0.1345351441558559,0.13644549287362784
100033,0.22869942052083106,0.2297551098545287
101206,0.1927064051369653,0.19146863819697824
101207,0.2921174251929163,0.2916999439531875
101208,0.1289568921773665,0.12860149861648815
102885,0.18368034296960942,0.1819256550225138
102886,0.22560814215136638,0.2268889829315837
102887,0.20221623215661824,0.20015214792296357
118632,0.19211519250390102,0.18806323287107515
118633,0.19344939246000745,0.1889792452699148
118634,0.2772863739829558,0.2827858263361039
118635,0.18307639338664936,0.18403823855443657
118636,0.1347582682889032,0.1357435518460494
119092,0.18908165842556626,0.19148904585183743
119093,0.1878998377218692,0.19075894372876365
119094,0.23765197701108368,0.2370710907370954
119095,0.2857813336985091,0.28098017915192963
119120,0.13564645267040476,0.13316665157240587
119551,0.1911825685163082,0.19311962181514383
119552,0.19212721030300678,0.19142791209304316
119598,0.2838814541332667,0.27803293056948225
119599,0.2771351379626376,0.280273404219026
120503,0.19294776031543664,0.1896590193077161
120504,0.1915870037972257,0.19137581549582713
120505,0.2319675096004632,0.23312357538323944
120506,0.19600483949857456,0.19538101900066449
120507,0.1290435755950335,0.12891203253670383
120841,0.18311878418576322,0.18249385340835586
120842,0.21916937594238353,0.2203571856061386
120843,0.20642496841144062,0.20514776699717424
120844,0.12904556781048557,0.12878471680551148
125497,0.19107208897596129,0.19558883044029257
125498,0.2235920824296721,0.22550130953132763
148567,0.1896636779215802,0.19399579209820508
148568,0.20321345225145676,0.2008999880482114
148569,0.21736518889258571,0.21938892755969008
149322,0.19326406331048715,0.1914896531862072
149323,0.21952116319885415,0.21893853284063108
149324,0.27917030841826745,0.2717887721093627
