amfi_code,cagr_1y,cagr_3y,cagr_5y
100016,-0.02224270997710287,0.01292649342495622,0.023168434686413164
100025,0.03704968580461343,0.039163899571040384,0.03912652604315703
100033,0.5323239623092084,0.32442459421956116,0.260740682788986
101206,0.4792412023860102,0.2896769452874166,0.20442729550832484
101207,-0.23986031710270628,-0.04152381044854481,0.0695333570223926
101208,0.0723664530138024,0.06315784491375509,0.05705734207350055
102885,0.20207703983094838,0.1966726206830185,0.1587882255741997
102886,-0.16797480944407306,-0.007674063178547241,0.010303498015576507
102887,0.135831349444816,0.25556187904126526,0.146781096489218
118632,0.339810484550213,0.22652359830098634,0.2088111809083788
118633,0.25539980483954094,0.2108997654925684,0.14188358083768593
118634,0.15811221971300937,0.08007927728656083,0.14274127320122987
118635,0.22493224932249345,0.20008208380471482,0.13914386506748544
118636,0.10454939683040276,0.040622050237771434,0.046639279794601585
119092,0.016091186722522632,0.005258871209757432,0.055825550357928355
119093,0.197667410165155,0.20816771175535864,0.06917406025598449
119094,0.22261065131342206,0.35111802096428524,0.24445308534360555
119095,-0.427976145588544,-0.11705806723995271,0.013376247776951455
119120,0.055219955107626895,0.05840358798463097,0.051644356698553606
119551,0.6043734071403091,0.3045652442030289,0.22384873172214603
119552,0.05706100044974027,0.16267372294624916,0.18713118910689763
119598,0.8277605861507404,0.2666992200118774,0.28033223731546975
119599,0.1394780335518997,-0.01337386614488112,0.01805621440370042
120503,0.08489081269294418,0.13978381933703043,0.16355566129520227
120504,0.13064279264417977,0.3248742855621496,0.20234028033314222
120505,0.29604659337893646,0.317775371512347,0.2837676208804263
120506,0.4181904829701364,0.1842199653744454,0.1488859671244569
120507,0.0742505077613469,0.07394286300360076,0.06341690270358713
120841,0.16837098075385626,0.1726727508371786,0.1181544242649819
120842,0.2250195657587366,0.07756003551327284,0.05873842419478348
120843,0.26657081760850154,0.2958277033726251,0.2674249401072899
120844,0.07120323042122512,0.06695971624586994,0.060604313665645115
125497,0.2867535802656873,0.18434488610520172,0.16555918956858906
125498,0.15443720834451846,0.11245222866621418,0.09880199138430035
148567,0.20360678307711866,0.3400091602163293,0.2679927700697151
148568,0.14269394138778924,0.14748035533586012,0.1956595954624316
148569,0.3975176148971702,0.2917890157839378,0.2762985997578453
149322,0.1811115252275146,0.18044206486636138,0.11695026862847113
149323,0.21481222193726257,0.268699908289022,0.256118065778393
149324,0.6513871892998797,0.27000426614519246,0.2791743018490922
